
Fail: Eawdfr2s3WEE	10p8-082wj498	2014-02-06 14:13:26数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
 454	170.64	170.60	0.0100		0.0002		Pass
 454	170.64	170.60	0.0100		0.0002		Pass
 433	150.60	150.60	0.0100		0.0000		Pass
 412	130.88	130.60	0.0100		0.0021		Pass
 391	115.96	115.60	0.0100		0.0031		Pass
 370	100.90	100.60	0.0100		0.0030		Pass
 349	87.97	87.60	0.0100		0.0042		Pass
 328	81.42	81.40	0.0100		0.0002		Pass
 307	75.21	75.20	0.0100		0.0001		Pass
 286	69.04	69.00	0.0100		0.0006		Pass
 265	62.82	62.80	0.0100		0.0003		Pass
 244	56.62	56.60	0.0100		0.0004		Pass
 223	50.57	50.40	0.0100		0.0034		Pass
 202	44.81	44.80	0.0100		0.0002		Pass
 181	39.26	39.20	0.0100		0.0015		Pass
 160	33.62	33.60	0.0100		0.0006		Pass
 139	28.03	28.00	0.0100		0.0011		Pass
 118	22.47	22.40	0.0100		0.0031		Pass
  97	16.82	16.80	0.0100		0.0012		Pass
  76	11.23	11.20	0.0100		0.0027		Pass
  55	 5.61	 5.60	0.0400		0.0018		Pass

Fail: Eawdfr2s3WEE	10p8-082wj493	2014-02-06 14:23:32数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
  55	 5.60	 5.60	0.0400		0.0000		Pass
  76	11.23	11.20	0.0100		0.0027		Pass
  97	16.82	16.80	0.0100		0.0012		Pass
 118	22.42	22.40	0.0100		0.0009		Pass
 139	28.08	28.00	0.0100		0.0029		Pass
 160	33.64	33.60	0.0100		0.0012		Pass
 181	39.22	39.20	0.0100		0.0005		Pass
 202	44.84	44.80	0.0100		0.0009		Pass
 223	50.41	50.40	0.0100		0.0002		Pass
 244	56.80	56.60	0.0100		0.0035		Pass
 265	63.11	62.80	0.0100		0.0049		Pass
 286	69.06	69.00	0.0100		0.0009		Pass
 307	75.33	75.20	0.0100		0.0017		Pass
 328	81.54	81.40	0.0100		0.0017		Pass
 349	88.01	87.60	0.0100		0.0047		Pass
 370	100.67	100.60	0.0100		0.0007		Pass
 391	116.03	115.60	0.0100		0.0037		Pass
 412	130.67	130.60	0.0100		0.0005		Pass
 433	151.04	150.60	0.0100		0.0029		Pass
 454	171.24	170.60	0.0100		0.0038		Pass
 454	171.24	170.60	0.0100		0.0038		Pass
 433	151.35	150.60	0.0100		0.0050		Pass
 412	130.82	130.60	0.0100		0.0017		Pass
 391	115.86	115.60	0.0100		0.0022		Pass
 370	100.87	100.60	0.0100		0.0027		Pass
 349	87.95	87.60	0.0100		0.0040		Pass
 328	81.44	81.40	0.0100		0.0005		Pass
 307	75.55	75.20	0.0100		0.0047		Pass
 286	69.21	69.00	0.0100		0.0030		Pass
 265	63.04	62.80	0.0100		0.0038		Pass
 244	56.64	56.60	0.0100		0.0007		Pass
 223	50.44	50.40	0.0100		0.0008		Pass
 202	45.01	44.80	0.0100		0.0047		Pass
 181	39.26	39.20	0.0100		0.0015		Pass
 160	33.75	33.60	0.0100		0.0045		Pass
 139	28.04	28.00	0.0100		0.0014		Pass
 118	22.48	22.40	0.0100		0.0036		Pass
  97	16.85	16.80	0.0100		0.0030		Pass
  76	11.22	11.20	0.0100		0.0018		Pass
  55	 5.62	 5.60	0.0400		0.0036		Pass

Fail: Eawdfr2s3WEE	10p8-082wj494	2014-02-06 14:23:37数据清单如下:
位置	数值	参考值	参考精度	实际精度	结果
  55	 5.62	 5.60	0.0400		0.0036		Pass
  76	11.23	11.20	0.0100		0.0027		Pass
  97	16.87	16.80	0.0100		0.0042		Pass
 118	22.48	22.40	0.0100		0.0036		Pass
 139	28.03	28.00	0.0100		0.0011		Pass
 160	33.69	33.60	0.0100		0.0027		Pass
 181	39.29	39.20	0.0100		0.0023		Pass
 202	45.01	44.80	0.0100		0.0047		Pass
 223	50.64	50.40	0.0100		0.0048		Pass
